count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
128.0,School A,All,All,All,All
65.0,School A,Year 8,All,All,All
56.0,School A,Year 10,All,All,All
15.0,School A,All,Girl,All,All
26.0,School A,All,Boy,All,All
57.0,School A,All,All,FSM,All
55.0,School A,All,All,Non-FSM,All
65.0,School A,All,All,All,SEN
59.0,School A,All,All,All,Non-SEN
132.0,School B,All,All,All,All
66.0,School B,Year 8,All,All,All
52.0,School B,Year 10,All,All,All
21.0,School B,All,Girl,All,All
16.0,School B,All,Boy,All,All
56.0,School B,All,All,FSM,All
60.0,School B,All,All,Non-FSM,All
NULL,School B,All,All,All,SEN
127.0,School B,All,All,All,Non-SEN
111.0,School C,All,All,All,All
37.0,School C,Year 8,All,All,All
61.0,School C,Year 10,All,All,All
17.0,School C,All,Girl,All,All
17.0,School C,All,Boy,All,All
52.0,School C,All,All,FSM,All
46.0,School C,All,All,Non-FSM,All
49.0,School C,All,All,All,SEN
56.0,School C,All,All,All,Non-SEN
107.0,School D,All,All,All,All
48.0,School D,Year 8,All,All,All
52.0,School D,Year 10,All,All,All
14.0,School D,All,Girl,All,All
20.0,School D,All,Boy,All,All
57.0,School D,All,All,FSM,All
44.0,School D,All,All,Non-FSM,All
48.0,School D,All,All,All,SEN
52.0,School D,All,All,All,Non-SEN
106.0,School E,All,All,All,All
45.0,School E,Year 8,All,All,All
53.0,School E,Year 10,All,All,All
15.0,School E,All,Girl,All,All
21.0,School E,All,Boy,All,All
50.0,School E,All,All,FSM,All
45.0,School E,All,All,Non-FSM,All
53.0,School E,All,All,All,SEN
50.0,School E,All,All,All,Non-SEN
110.0,School F,All,All,All,All
101.0,School F,Year 8,All,All,All
NULL,School F,Year 10,All,All,All
16.0,School F,All,Girl,All,All
20.0,School F,All,Boy,All,All
49.0,School F,All,All,FSM,All
41.0,School F,All,All,Non-FSM,All
53.0,School F,All,All,All,SEN
50.0,School F,All,All,All,Non-SEN
106.0,School G,All,All,All,All
43.0,School G,Year 8,All,All,All
49.0,School G,Year 10,All,All,All
14.0,School G,All,Girl,All,All
20.0,School G,All,Boy,All,All
59.0,School G,All,All,FSM,All
38.0,School G,All,All,Non-FSM,All
46.0,School G,All,All,All,SEN
52.0,School G,All,All,All,Non-SEN
